Frequency (GHz)	DB(|S(1,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(2,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(3,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(4,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(5,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(6,1)|) : 6PORT ORIGINAL CRLH N8
2.76	-7.15617	-6.38451	-11.1161	-17.9353	-7.17853	-5.33577
2.77	-7.09739	-6.41854	-10.9551	-17.9216	-7.15288	-5.40958
2.78	-7.04826	-6.4571	-10.7957	-17.902	-7.12527	-5.47811
2.79	-7.00974	-6.49995	-10.6374	-17.877	-7.0957	-5.54061
2.8	-6.98268	-6.54685	-10.4798	-17.8471	-7.06423	-5.59638
2.81	-6.96786	-6.59762	-10.3226	-17.813	-7.03093	-5.64477
2.82	-6.96602	-6.65206	-10.1656	-17.7752	-6.99589	-5.68518
2.83	-6.97791	-6.70999	-10.0087	-17.7342	-6.95927	-5.7171
2.84	-7.00424	-6.77123	-9.85169	-17.6907	-6.92123	-5.74011
2.85	-7.04578	-6.83556	-9.69464	-17.6453	-6.88198	-5.75387
2.86	-7.10333	-6.90273	-9.53756	-17.5986	-6.84178	-5.75819
2.87	-7.17775	-6.97244	-9.38058	-17.5512	-6.80092	-5.75299
2.88	-7.26996	-7.04433	-9.22383	-17.5039	-6.75973	-5.73834
2.89	-7.38095	-7.11793	-9.06755	-17.4573	-6.7186	-5.71446
2.9	-7.51184	-7.19269	-8.91201	-17.4121	-6.67796	-5.68171
2.91	-7.66379	-7.26791	-8.75755	-17.3688	-6.63829	-5.6406
2.92	-7.83813	-7.34277	-8.60455	-17.3282	-6.60014	-5.59178
2.93	-8.03625	-7.4163	-8.45345	-17.2908	-6.56408	-5.53603
2.94	-8.25968	-7.48735	-8.30474	-17.2571	-6.53076	-5.47423
2.95	-8.51007	-7.55466	-8.15898	-17.2276	-6.50088	-5.40734
2.96	-8.78917	-7.61681	-8.01674	-17.2025	-6.47518	-5.33639
2.97	-9.09882	-7.6723	-7.87866	-17.1821	-6.45446	-5.26245
2.98	-9.44091	-7.71963	-7.74538	-17.1663	-6.43954	-5.18658
2.99	-9.81735	-7.7573	-7.61758	-17.1549	-6.43127	-5.10982
3	-10.23	-7.78397	-7.49595	-17.1476	-6.43052	-5.03316
